genotype_id,location,rep,TraitOne,TraitTwo,TraitThree
a-0000406,11,F,54,94,316.6753134
a-0000406,8,B,34,,568.7981034
a-0000406,4,A,33,89,562.5619377
a-0000406,3,D,56,96,332.383065
a-0000406,7,E,54,96,316.6753134
a-0000406,12,C,40,91,599.1444023
a-0000090,12,E,60,114,178.5122781
a-0000090,7,B,59,122,554.0082017
a-0000090,3,A,81,122,604.2432468
a-0000090,11,C,59,122,554.0082017
a-0000090,4,D,59,119,178.5122781
a-0000090,8,F,59,114,175.1082017
a-0000190,8,B,25,70,529.3840955
a-0000190,12,C,25,76,529.3840955
a-0000190,1,D,34,78,190.2981034
a-0000190,4,A,25,77,529.3840955
a-0000190,7,F,32,83,178.5781487
a-0000190,12,E,32,82,178.5781487
a-0000133,6,E,70,117,248.8829565
a-0000133,9,C,72,126,668.7171166
a-0000133,5,B,70,126,661.7829565
a-0000133,1,A,74,126,675.9003954
a-0000133,9,F,70,116,248.8829565
a-0000133,3,D,70,117,248.8829565